0,"Ruma Abedona Hospice 143 Rail Park (West), Rishra, District: Hooghly, PIN 712205, West Bengal.","Mr. Santanu Chakraborty Ph: 91 9830088821, 91 33 26724598 Fax: 91 33 26724598 rumahospice@gmail.com, santachak@gmail.com",www.rumahospice.org.in,west bengal,22.7193549,88.3362526
1,"Sambedna Madhyamgram, District: North 24 Parganas, West Bengal.",,,west bengal,22.7222454,88.485578
2,"Saroj Gupta Cancer Centre & Research Institute Mahatma Gandhi Road, Thakurpukur,  Kolkata 700063, West Bengal.","Dr. Rakesh Roy, Palliative Care Incharge Ph: 91 9830051479, 91 9831161172 rex4you@gmail.com",www.cancercentrecalcutta.org,west bengal,22.4590563,88.3215075
3,"Chittaranjan National Cancer institute 1st Campus, Dept of Pain and Palliative Care, 37, S P Mukherjee Road, Kolkata 700026, West Bengal.","Dr R K Mandal Ph: 91 9831002078 Dr. Debashish Jatua, Ph: 91 8961563397, 91 8240534938 drdebasishjatua@gmail.com Ph: 91 33 3324765101, extn-392/377 cncinst@vsnl.com",cnci.org.in,west bengal,22.5254243,88.3469854
4,"Chittaranjan National Cancer institute 2nd Campus, Dept of Pain and Palliative Care, Street number 299, D J block, Newtown, Action area I, Rajarhat 700156, West Bengal.","Dr R K Mandal Ph: 91 9831002078 Dr. Debashish Jatua, Ph: 91 8961563397, 91 8240534938 drdebasishjatua@gmail.com Ph: 91 33 3324765101, extn-392/377 cncinst@vsnl.com",cnci.org.in,west bengal,22.5674773,88.4690404
5,"Eastern India Palliative Care Barrackpore, Kolkata, West Bengal.",Runa Mitra Ph: 91 70597641764 runamitra01@gmail.com,,west bengal,22.7594185,88.4058445
6,"Oncolink Palliative Care Hospital Village: Teghari, P. O.: Madanpur,  District: Nadia, PIN 741245, West Bengal.","Ph: 91 33 22276913 , 91 33 24224788 oncolink_india@yahoo.co.in www.oncolinkindia.com",View,west bengal,23.0145236,88.5015662
7,"Hope Foundation Hospital, Hope Kolkata Foundation, 139 B, Vinobha Bhawe Road, Kolkata - 700038, West Bengal.","Dr. Indranil Khan Ph: 09831534166, 03324075090",,west bengal,22.5084539,88.3227081
8,"Kolkata Medical College & Hospital Dept of Radiotherapy 88 College Street, Kolkata 700042, West Bengal.","Dr. Shyamal Sarksr, Professor of Radiotherapy Ph: 91 33 22551621 drshyamalsarkar20141@gmail.com, info@medicalcollegekolkata.in",www.medicalcollegekolkata.org/index.html,west bengal,22.5723665,88.3616605
9,"Loyola Health Care Center Uttar Salbari, PO: Mogulkuta Bazar, Dist: Jalpaiguri, PIN 735202, West Bengal.","Sr. Dr. Rani Rose Sr. Dr. Anjali Ph: 91 9495261937, 91 9735900000 drranirose@gmail.com",,west bengal,26.7802643,88.9560279
10,"Daughters of the Ccross Health Centre Hatighisa, Darjeeling, West Bengal.","Sister Antonia Ph: 91 9830504342 arulanduantonia@gmail.com, hatighisahealthcarecentre@gmail.com",,west bengal,26.870308,88.2605926
11,"Department of Palliative Care and Psychooncology Tata Medical Center, Major Arterial Road,  Newtown, Kolkata 700160, West Bengal.","Dr. Shrikant Atreya Ph: 91 33 6605 7224, 91 33 66057795, 91 33 66057092 shrikant.atreya@tmckolkata.com",,west bengal,22.5772106,88.4767103
12,"Care Continuum Pvt. Ltd. DGHS – WB, 28B, Gariahat Road, Kolkata 700029, West Bengal.",Ph: 91 7044074009 connect@carecontinuum.in Dr Soma Bhattacharjee Ph: 91 9038000010 Maitreyee Bhattacherjee Ph: 91 7044071144,www.carecontinuum.in,west bengal,22.5321866,88.3647709
